"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","730","SYLIUS-580: Verificar eliminación concurrente del mismo review desde múltiples solicitudes","tests.marketing.product_reviews","2025-11-20","passed","2025-11-20","","test_HU18_NC_DELETE_ProductReviews","",""
"","470","SYLIUS-61 - SYLIUS-64: Validar campo lastName","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","372","SYLIUS-569 - 573: Validar variaciones del parámetro 'description'","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU13_NC_PUT_Promotion","",""
"","311","SYLIUS-531: Validar error al archivar promoción con token inválido","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU14_NC_PATCH_Promotion","",""
"","593","SYLIUS-149: Validar error al subir avatar sin token de autenticación","tests.administrators.avatar_images","2025-11-20","passed","2025-11-20","","test_HU08_NC_POST_Avatar_Images","",""
"","935","SYLIUS-125 - SYLIUS-129: Validar campo email al actualizar administrador","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","357","SYLIUS-464 - 466: Obtener lista de promociones con parámetros de paginación válidos","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU10_NC_GET_Promotions","",""
"","363","SYLIUS-576: Validar error al eliminar review inexistente","tests.marketing.product_reviews","2025-11-20","passed","2025-11-20","","test_HU18_NC_DELETE_ProductReviews","",""
"","358","test_TC_Obtener_lista_de_administradores_con_paginacion_invalida[-1-1]","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU02_NC_GET_Administrators","",""
"","367","SYLIUS-37 - SYLIUS-41: Validar error al ingresar IDs no válidos","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU03_NC_GET_Administrator","",""
"","337","SYLIUS-511 - 515: Validar parámetros del campo code","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU11_NC_GET_Promotion","",""
"","541","SYLIUS-140: Validar error al consultar avatar image con token inválido","tests.administrators.avatar_images","2025-11-20","passed","2025-11-20","","test_HU07_NC_GET_Avatar_Images","",""
"","471","SYLIUS-34: Verificar localización consistente","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU03_NC_GET_Administrator","",""
"","1054","SYLIUS-125 - SYLIUS-129: Validar campo email al actualizar administrador","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","424","SYLIUS-540: Validar error al crear promoción sin token de autenticación","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU12_NC_POST_Promotion","",""
"","361","SYLIUS-170 - 174: Validar errores al subir avatar con IDs inválidos","tests.administrators.avatar_images","2025-11-20","passed","2025-11-20","","test_HU08_NC_POST_Avatar_Images","",""
"","935","SYLIUS-109 - SYLIUS-112: Validar campo localeCode al actualizar administrador","tests.administrators","2025-11-20","skipped","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","551","SYLIUS-75 - SYLIUS-80: Validar campo plainPassword","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","352","SYLIUS-96 - SYLIUS-100: Validar error al ingresar IDs no válidos","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","429","SYLIUS-134: Validar error al eliminar administrador con token inválido","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU06_NC_DELETE_Administrator","",""
"","376","SYLIUS-75 - SYLIUS-80: Validar campo plainPassword","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","394","SYLIUS-81 - SYLIUS-85: Validar campo email","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","376","SYLIUS-544 - 548: Validar variaciones del parámetro 'name'","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU12_NC_POST_Promotion","",""
"","1458","SYLIUS-92: Validar error al actualizar administrador con email duplicado","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","496","SYLIUS-559 - 563: Validar variaciones del parámetro 'code'","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU13_NC_PUT_Promotion","",""
"","1109","SYLIUS-180: Verificar eliminación concurrente del mismo avatar","tests.administrators.avatar_images","2025-11-20","passed","2025-11-20","","test_HU09_NC_DELETE_Avatar_Images","",""
"","462","SYLIUS-497 - 505: Validar error al usar parámetros de paginación inválidos","tests.marketing.product_reviews","2025-11-20","passed","2025-11-20","","test_HU17_NC_GET_ProductReviews","",""
"","556","SYLIUS-57 - SYLIUS-60: Validar campo firstName","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","375","SYLIUS-549 - 553: Validar variaciones del parámetro 'description'","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU12_NC_POST_Promotion","",""
"","1013","SYLIUS-113 - SYLIUS-118: Validar campo username al actualizar administrador","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","354","SYLIUS-497 - 505: Validar error al usar parámetros de paginación inválidos","tests.marketing.product_reviews","2025-11-20","passed","2025-11-20","","test_HU17_NC_GET_ProductReviews","",""
"","364","test_TC_Obtener_lista_de_administradores_con_paginacion_invalida[1-None]","tests.administrators","2025-11-20","skipped","2025-11-20","","test_HU02_NC_GET_Administrators","",""
"","342","SYLIUS-65 - SYLIUS-68: Validar campo localeCode","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","929","SYLIUS-119 - SYLIUS-124: Validar campo plainPassword al actualizar administrador","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","369","SYLIUS-49: Validar error al crear administrador con email inválido","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","1200","SYLIUS-105 - SYLIUS-108: Validar campo lastName al actualizar administrador","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","361","SYLIUS-165 - 168: Validar extensiones inválidas","tests.administrators.avatar_images","2025-11-20","skipped","2025-11-20","","test_HU08_NC_POST_Avatar_Images","",""
"","373","SYLIUS-69 - SYLIUS-74: Validar campo username","tests.administrators","2025-11-20","skipped","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","548","SYLIUS-57 - SYLIUS-60: Validar campo firstName","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","334","SYLIUS-467 - 475: Validar error al usar parámetros de paginación inválidos","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU10_NC_GET_Promotions","",""
"","376","SYLIUS-170 - 174: Validar errores al subir avatar con IDs inválidos","tests.administrators.avatar_images","2025-11-20","passed","2025-11-20","","test_HU08_NC_POST_Avatar_Images","",""
"","460","SYLIUS-69 - SYLIUS-74: Validar campo username","tests.administrators","2025-11-20","skipped","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","384","SYLIUS-559 - 563: Validar variaciones del parámetro 'code'","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU13_NC_PUT_Promotion","",""
"","641","SYLIUS-81 - SYLIUS-85: Validar campo email","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","460","SYLIUS-511 - 515: Validar parámetros del campo code","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU11_NC_GET_Promotion","",""
"","464","SYLIUS-564 - 568: Validar variaciones del parámetro 'name'","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU13_NC_PUT_Promotion","",""
"","327","SYLIUS-506: Validar error al consultar una promoción sin token de autenticación","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU11_NC_GET_Promotion","",""
"","423","SYLIUS-578: Validar error al eliminar review con token inválido","tests.marketing.product_reviews","2025-11-20","passed","2025-11-20","","test_HU18_NC_DELETE_ProductReviews","",""
"","938","SYLIUS-93: Validar error al actualizar administrador con email inválido","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","1116","SYLIUS-119 - SYLIUS-124: Validar campo plainPassword al actualizar administrador","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","400","SYLIUS-569 - 573: Validar variaciones del parámetro 'description'","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU13_NC_PUT_Promotion","",""
"","1076","SYLIUS-101 - SYLIUS-104: Validar campo firstName al actualizar administrador","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","533","SYLIUS-57 - SYLIUS-60: Validar campo firstName","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU04_NC_POST_Administrator","",""
"","474","SYLIUS-163 - 169: Validar pesos de archivo permitidos","tests.administrators.avatar_images","2025-11-20","passed","2025-11-20","","test_HU08_NC_POST_Avatar_Images","",""
"","318","SYLIUS-88: Validar error al actualizar sin token","tests.administrators","2025-11-20","passed","2025-11-20","","test_HU05_NC_PUT_Administrator","",""
"","352","SYLIUS-511 - 515: Validar parámetros del campo code","tests.marketing.promotions","2025-11-20","passed","2025-11-20","","test_HU11_NC_GET_Promotion","",""
